"Title","Text"
"Kerry admits to soft spot for Oscar winner Theron (AFP)","AFP - Democratic presidential contender John Kerry has a soft spot for South African actress Charlize Theron but is adamant that second wife Teresa Heinz-Kerry changed his life, he has told GQ magazine."
"Stocks Open Near Flat as Oil Near Record"," NEW YORK (Reuters) - U.S. stocks opened little changed on  Monday as crude prices remain near their record highs, but  early reports of victory for the Venezuelan president in a  referendum on his rule eased fears about the country's oil  exports."
"Google Up in Market Debut After Bumpy IPO"," NEW YORK/SEATTLE (Reuters) - Google Inc. shares made their  long-awaited stock market debut on Thursday, rising sharply to  \$100 after an initial public offering marked by missteps and  lackluster market conditions."
"Students Win \$100,000 in National Team Science Competition","Lucie Guo, motivated by the death of her grandfather in China before she was born, spent two summers doing research in a Duke University laboratory."
"White House Touts High-End Computing In R amp;D Budgets","It #39;s instructing executive-branch heads to give priority to supercomputing and cyberinfrastructure research and development in their fiscal 2006 budgets. "
"Even in win, nasty vibes","ATHENS -- As you saw yesterday, they #39;re fighting back now. Not with the world, but with themselves. When you #39;ve been humiliated at your own game, ridiculed and laughed at back home and can #39;t intimidate Australia anymore, someone #39;s bound to mope. "
"Rumsfeld warning for Iraq's Sadr","The Iraq crisis and differences over Nato loom over the US Defence Secretary's meeting with his Russian counterpart."
"Gartner: 'Steer away' from cheap Windows XP","That's the research firm's verdict on Microsoft's stripped-down Starter Edition for developing countries."
"Gloom amid the boom","BANGALORE - The success of India #39;s high-tech and outsourcing industry was built on Bangalore but the southern city where the boom began has now become a victim of its own success. "
"Chinese boom pays off for BHP","BHP Billiton has delivered the biggest profit ever achieved by an Australian company - a \$US3.38billion (\$4.73billion) whopper, up 78 per cent on last year. "
"SEC Rules Expand Disclosure","Companies must disclose more information about their business deals and financial obligations starting Monday, when new Securities and Exchange Commission rules take effect."
"Boeing Sees EU Agreeing to End Launch Aid"," WASHINGTON (Reuters) - A top Boeing Co. official said on  Friday he was optimistic the European Union would agree to end  government aid to develop new aircraft, which has helped its  chief rival Airbus grab more than half of the civil aircraft  market."
"Greek weightlifter stripped of bronze","Athens, Greece (Sports Network) - Greek weightlifter Leonidas Sampanis on Sunday was stripped of the bronze medal he won last week and banished from the Athens Games for failing an antidoping test."
"August Mid-Atlantic Factory Output Slows (Reuters)","Reuters - Output at U.S. Mid-Atlantic factories\slowed in August as new orders dropped sharply, suggesting\recent weakness in the economy is likely to persist into coming\months."
"Violence in blockaded Kathmandu as Nepal agrees to meet Maoists halfway (AFP)","AFP - Maoist rebels who have cut off Kathmandu for three days attacked security forces and bombed buildings inside the Nepalese capital, as the government partially agreed to guerrilla demands for lifting the blockade."
"Haitian Rebel Leader Appears for Trial (AP)","AP - Jury selection began Monday for a Haitian paramilitary leader convicted in absentia of killing a businessman and ordering a massacre in the early 1990s but is facing the charges again after returning to lead a revolt against President Jean-Bertrand Aristide."
"Google Rises in Market Debut"," NEW YORK/SEATTLE (Reuters) - Shares of Google Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;  made their long-awaited stock market debut on Thursday, rising  more than 20 percent to over \$100 after an initial public  offering marked by missteps and lackluster market conditions."
"Najaf stand-off has beginnings in earlier US failures in Fallujah","The battle of Najaf, in which Iraq #39;s fledgling government is being held to ransom by the occupation of Shia Islam #39;s holiest site, can be traced to American political and military failures in recent months. "
"Phelps on way to great 8","That #39;s the goal now, with two events remaining in what already has been a grueling Olympic schedule for this 19-year-old US swimming star. "
"All-American girl","That was then and this is now. That was there and this is here. So which is a bigger moment? Mary Lou Retton's  quot;No-Fault Vault quot; that produced America's first Olympic all-around gold medal in women's gymnastics 20 years ago in Los Angeles? Or Carly Patterson's  quot;Dream Beam quot; here last night that clinched the second?"
"Wily Devers snares spot in semifinals","ATHENS -- The US women #39;s trio of 100-meter sprinters, including five-time Olympian Gail Devers, all raced into the semifinals with strong, controlled performances yesterday in the debut of the track and ..."
"File Sharing Companies Ruled Not Liable","A federal appeals court yesterday ruled that two developers of file-sharing programs are not legally liable for the copyrighted content their users swap online. "
"Dampier headed to Mavericks?","Longtime Warriors center Erick Dampier could be on the verge of finding a new home, 2 1/2 months after becoming a free agent. "
"End of the line for HP's Alpha processor","Hewlett-Packard Co. will release the final processor upgrade for its AlphaServer line of Unix servers on Monday."
"Wall Street Set to Open Down (Reuters)","Reuters - U.S. shares were expected to open lower\on Wednesday after crude oil pushed to a fresh high overnight,\while Web search engine Google Inc. dented sentiment as it\slashed the price range on its initial public offering.\In a statement posted on its IPO Web site, Google said it had\cut the range on its IPO to  #36;85- #36;95 per share from  #36;108- #36;135\previously, a 26 percent reduction at the mid-point of the\range."
"Moore Reaches U.S. Amateur Semifinals (AP)","AP - Ryan Moore keeps rolling along in the U.S. Amateur, moving into the semifinals with a 3 and 2 victory over Jason Hartwick on Friday at Winged Foot Golf Club."
"Sudan army voices opposition to upgrading of African Union mission (AFP)","AFP - The Sudanese army expressed opposition to the upgrading of an African Union protection mission newly arrived in the wartorn western region of Darfur into a full-blown peacekeeping force."
"The youth vote: Hard to tell how it will turn out (USATODAY.com)","USATODAY.com - The youth vote, perhaps the most elusive quarry in U.S. politics, is being Rocked, Smacked Down, Rapped and otherwise goosed by everyone from blinged-out rappers to Harvard professors to the League of Women Voters."
"Germans 'lose event gold'","Germany is reportedly stripped of its three-day event team gold medal after a joint appeal was upheld."
"Ex-Enron CEO Seeks Separate Trial"," HOUSTON (Reuters) - Lawyers for former Enron Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ENRNQ.PK target=/stocks/quickinfo/fullquote""&gt;ENRNQ.PK&lt;/A&gt; chief executive Jeffrey Skilling on Friday asked a  federal court to separate his trial from his former boss Ken  Lay's on charges linked to the downfall of the energy company."
"Azevedo shot does trick","Tony Azevedo whizzed a last-second shot past Croatian goalkeeper Frano Vican to give the American water polo team a 7-6 victory in its tournament opener yesterday."
"Militants, Israeli Troops Battle in Gaza","A period of relative calm in the Gaza Strip was broken by a nearly hour-long battle between Palestinian militants and Israeli troops that left at least one Israeli soldier and one militant dead."
"Say slams teammates #39; relay effort","ATHENS -- The meltdown continues in the pool for Canada #39;s swimmers. Only this time, it #39;s talk and not just times that are creating heat. Rick Say, who has posted Canada #39;s best individual showing in the pool with a sixth-place finish in the highly ..."
"Were the judges by any chance French?","Kosuke Kitajima #39;s technique may get a sharper eye from officials today in the 200-meter breaststroke race. "
"Google, Set for Offering, Cuts Share Price by About a Quarter","Google cut its price range to between \$85 and \$95 a share, down from \$108 to \$135, valuing the company at as much as \$25.8 billion."
"Oil Falls on Reduced Concern About Venezuelan, Russian Supply","Aug. 17 (Bloomberg) -- Crude oil futures fell for a second day after a Russian state railway official said shipments of Yukos Oil Co. oil would continue and Venezuelan President Hugo Chavez won a recall vote. "
"Capital professor lands lead role with UK Athletics","EDINBURGH University professor Dave Collins was today appointed as the new performance director of UK Athletics. The ex-Royal Marine, who has worked with competitors across a range of sports in the Capital "
"AL Wrap: Redman Helps Athletics Maintain AL West Lead"," NEW YORK (Reuters) - Mark Redman pitched eight strong  innings as the Oakland Athletics clung on to first place in the  American League West with a 3-1 road win over the Baltimore  Orioles on Monday."
"Bowa's status with Phillies is shaky","Larry Bowa's time as Philadelphia Phillies' manager could be running out. General manager Ed Wade declined to give Bowa an endorsement before last night's game against the Houston Astros, saying only,  quot;He's the manager. quot; Told that comment can be interpreted many ways, Wade replied:  quot;Interpret it any way you want. quot; The fiery Bowa has come under scrutiny because the injury-plagued ..."
"Google prepares to wrap up share auction (AFP)","AFP - Google Inc prepared to wrap up an extraordinary share auction, meaning a final price in the multi-billion-dollar listing will be announced within days."
"Delta seeks permission to buy back certain bonds","NEW YORK, Aug 18 (Reuters) - Delta Air Lines (DAL.N: Quote, Profile, Research) said on Wednesday it was asking permission to buy back debt from about 10 percent of its bondholders, in a first step toward the struggling company #39;s efforts to restructure its ..."
"Ghana election draws strong turnout","Snaking lines of hundreds of voters built up at balloting places across Ghana on Tuesday, as the first sub-Saharan country to gain independence voted for president."
"Paes-Bhupathi overcome Federer-Allegro (Reuters)","Reuters - World number one Roger Federer's top target for the year -- an Olympic tennis gold medal -- was taken away from him in a ""terrible day"" on Tuesday."
"U.S. Struggles to Win Muslim Hearts, Minds","The Bush administration is facing growing criticism that it has failed to move aggressively enough in the war of ideas against al Qaeda and other Islamic extremist groups over the three years since the 9/11 attacks."
"Eight Terror Suspects Face British Charges","LONDON - Two of the suspects allegedly had surveillance plans of the Prudential Building in Newark, N.J., mentioned in the Aug. 1 U.S..."
"Sadr Militia in Contacts to Hand Over Najaf Shrine","NAJAF, Iraq (Reuters) - Top aides of radical cleric Moqtada al-Sadr prepared to hand over control of a holy shrine at the center of a crisis in Najaf on Friday to representatives of Iraq #39;s top ayatollah, a Sadr spokesman said. "
"New U.N. Official Assumes Kosovo Control (AP)","AP - The new U.N. administrator for Kosovo took control Sunday of the Serbian province, which has remained deeply divided along ethnic lines since the end of a 1999 war."
"Oil Tops \$49 On Renewed Iraq Violence","LONDON (Reuters) - Global oil prices raced to fresh highs on Friday, carrying US crude close to \$49.16 a barrel up 46 cents, driven by escalating violence in Iraq and unabated demand growth from China and India. "
"Matfield turns the Aussie tide","A rugby nation lifted its head once more last night. The surprise was that it was South Africa, not Australia or New Zealand, who emerged into the light clutching the coveted Tri-Nations trophy."
"Geogia woman wins medal in fencing","ATHENS - The United States won its first fencing medals in 20 years Tuesday, a bronze by an Atlanta-area competitor and a gold by Mariel Zagunis in the saber competition. "
"Beach Volleyball: Australia in with a Shout"," ATHENS (Reuters) - To prepare for the Olympics, Kerri  Pottharst practiced serving with her team mate screaming in her  ear."
"Pope Struggles Through Mass at Lourdes","LOURDES, France - A sick man among the sick, Pope John Paul II struggled through Sunday Mass at a French shrine that draws desperate people seeking miracle cures. The 84-year-old pontiff gasped, trembled and asked aides for help during the 2 1/2 hour service in sizzling heat..."
"Sprinters #39; Withdrawals Lift Cloud Over Games","ATHENS (Reuters) - Greece #39;s top two sprinters pulled out of the Olympics on Wednesday after inflicting six days of embarrassment on their country over a hide-and-seek contest with anti-doping enforcers. "
"2 More Turkish Men Taken Hostage in Iraq (AP)","AP - Armed assailants attacked a convoy of Turkish trucks delivering supplies to U.S. forces in Iraq and took two Turkish drivers hostage, their company said Monday."
"Space Science Pioneer Van Allen Questions Human Spaceflight (SPACE.com)","SPACE.com - A leading space scientist has called to question the validity of human spaceflight, suggesting that sending astronauts outward from Earth is outdated, too costly, and the science returned is trivial."
"Palestinian Prisoners Launch Hunger Strike","JERUSALEM - More than a thousand Palestinian prisoners went on a hunger strike to press for better conditions, but Israel responded by tightening inmate restrictions, and a Cabinet minister said he wouldn't care if they starved to death.    About 1,600 prisoners struck on Sunday..."
"UK welcomes corncrake's comeback","The rare corncrake is starting to return to England, but several other birds are still in serious trouble."
"Jackson's Lavish Lifestyle Put on Display","SANTA MARIA, Calif. - The elegant life of Michael Jackson was put on display in a courtroom Thursday when defense attorneys showed videotaped scenes from last year's raid on the pop star's lavish Neverland estate..."
"Two Wounded in Second Bomb Blast in Nepal Capital","KATHMANDU (Reuters) - Two people were wounded after a second bomb exploded in Nepal #39;s capital on Friday, the third day of a blockade of the commercial center called by Maoist rebels. "
"Iraq Cleric Agrees to End Uprising, Fighting Rages On (Reuters)","Reuters - A radical Iraqi cleric leading a\Shi'ite uprising agreed on Wednesday to disarm his militia and\leave one of the country's holiest Islamic shrines after\warnings of an onslaught by government forces."
"Google seeks OK to sell shares","Google has signaled that its share auction is nearly complete, asking the Securities and Exchange Commission for approval to begin selling 25.7 million shares of stock starting late this afternoon."
"Spectre of closure haunts the Uffizi","One of the world #39;s greatest art museums, the Uffizi gallery in Florence, may be forced to close by huge government spending cuts, the Italian heritage minister said yesterday. "
"Treasury Prices Take a Breather Today (Reuters)","Reuters - U.S. Treasury prices paused for breath\on Tuesday after a blistering two-session rally ran out of\steam, though analysts still saw room to the upside given the\large short-base in the market."
"More Video Options","The Olympic Games in Athens are pushing many people to finally buy that plasma or LCD television that they #39;ve been dreaming about. Also, the time difference between Japan and Greece is helping sales of video recorders, particularly those that use hard ..."
"After the Bell: Shares of Synopsys Tumble"," NEW YORK (Reuters) - Shares of Synopsys Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SNPS.O target=/stocks/quickinfo/fullquote""&gt;SNPS.O&lt;/A&gt;  tumbled on Wednesday after the semiconductor design software  maker reported lower third-quarter net income and said  fourth-quarter earnings and revenues would be below Wall Street  estimates."
"Iraq's Sadr Snubs Peace Delegation in Najaf"," NAJAF, Iraq (Reuters) - Iraq's radical cleric Moqtada  al-Sadr refused on Tuesday to meet a delegation of Iraqi  political and religious leaders seeking to end a rebellion in  the holy city of Najaf and other parts of the country."
"Holiday Pals Berlusconi, Blair Cement Ties (AP)","AP - With a bandanna on his head and a grin on his cheeks, Italy's flamboyant Premier Silvio Berlusconi has been playing vacation host to Britain's Tony Blair in Sardinia, an unlikely holiday coupling that highlights an Italian-British alliance bolstered by the Iraq war."
"U.S. Rebounds with Narrow Basketball Win Over Greece"," ATHENS (Reuters) - The United States rebounded from a shock  opening game loss to narrowly beat Greece 77-71 at the men's  Olympic basketball tournament on Tuesday."
"Plan for global observation would aid in forecasting of disasters","WASHINGTON - What if scientists could forecast Texas floods a full year in advance? Or predict when and how air pollution from Asia or Mexico will settle over Los Angeles or Houston? Or pinpoint the location of the next West Nile virus ..."
"Google auction begins on Friday","An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday."
"Searching for peace in Nigeria","Rival community leaders meet in central Nigeria, the scene of bitter clashes earlier this year."
"Inside Lines: Athens brings out the Games #39; feminine side","Have you noticed how women are beginning to dominate these Olympics? A week ago it was Gianna Angelopoulos-Daskalaki who was a star of the show at the opening ceremony."
"Sharon 'backs settlement homes'","Reports say Israeli PM Ariel Sharon has given the green light to new homes in West Bank settlements."
"GOP Convention Light on Stars (AP)","AP - The Republicans will have one sure Hollywood star for their convention  #151; California Gov. Arnold Schwarzenegger  #151; along with performers to keep the country music fans happy. But they'll be hard-pressed to match the Democratic convention's appeal to young voters led by Ben Affleck."
"JC Penney Posts Operating Profit","NEW YORK (Reuters) - Department store operator JC Penney Co. Inc. (JCP.N: Quote, Profile, Research) on Tuesday posted a quarterly operating profit, reversing a year-earlier loss, on inventory controls and strong sales of jeans, home furnishings and career ..."
"US Begins Criminal Probe on Riggs-Paper","WASHINGTON (Reuters) - The US Justice Department has begun a criminal investigation into possible wrongdoing at Riggs Bank, The Washington Post reported on Saturday, citing a letter from the US attorney for the District of Columbia to federal bank ..."
"New flaws found in Microsoft security (AFP)","AFP - Internet security experts have found two ""flaws"" with Microsoft Corp's long-awaited security update for its Windows XP operating system, but the software behemoth insists that the new SP2 is secure."
"Wanted: Sleeping Space for Protesters. Hot Water Optional.","The protesters coming to New York are receiving an outpouring of hospitality from scores of people who are opening their homes as temporary, free shelter."
"Fischer Appeals to Powell to Help Him Renounce U.S. Citizenship","Former chess champion Bobby Fischer announced plans Monday to marry a leading Japanese chess official and appealed to Secretary of State Colin Powell to help him renounce U.S. citizenship, the latest in a series of moves as he seeks to block attempts to deport him to the United States."
"British soldier killed in Basra","A British soldier was believed to have been killed and another seriously injured last night after clashes with Shia fighters in the southern Iraqi city of Basra. "
"Blast in Gaza Home of Hamas Man Kills 4 - Medics"," GAZA (Reuters) - An explosion tore through the home of a  senior Hamas militant in Gaza on Wednesday, killing at least  four people and wounding him and about a dozen other  Palestinians, medics said."
"Sony Develops New Chip for More Real and Refined High Definition Video"," quot;DRC quot; was developed in 1997 as a technology that changed a standard television signal format to a high-definition signal format, based on the concept of establishing a higher definition signal format from scratch. The foundation of this technology was ..."
"News: Duke Study Disputes Idea that Trees Can 'Relocate' Quickly in Response to Climate Change","In a study with implications for how North American trees might respond to a changing climate, molecular information collected by Duke University researchers refutes a widely accepted theory that many of the continent's tree species migrated rapidly from the deep South as glaciers retreated at the end of the last Ice Age. (Duke University press release)"
"WOMENS POLE VAULT A huge comedown for defending champ Dragila","Athens -- Stacy Dragila, the first great woman pole vaulter and 2000 Olympic champion, will not be defending her gold medal in Athens."
"US Army to withhold portion of Halliburton payments","The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton. "
"Bryant Defense Wins Ruling","In another setback to the prosecution in the Kobe Bryant sexual assault case, the court maintains ruling that allows information about the accuser's sex life into court."
"Israel Ends West Bank Construction Freeze","JERUSALEM - The Israeli government issued bids Tuesday for 1,000 new homes in Jewish West Bank settlements, insisting the construction has Washington's tacit approval even though it violates a U.S.-backed peace plan.    U.S..."
"Eriksson aims to stick by core of Euro 2004 side","SLALEY, England, Aug 17 (Reuters) - England coach Sven-Goran Eriksson says he is prepared to put his faith in the nucleus of the squad that flopped at Euro 2004 as he tries to plot a successful challenge for the World Cup. "
"Nichols Declines to Appeal Convictions","PONCA CITY, Okla. - Oklahoma City bombing conspirator Terry Nichols will not appeal his state murder convictions for his role in the 1995 bombing of the Oklahoma City federal building, his attorney said Thursday..."
"US men fall again","A stake in the heart of USA mens basketball was delivered Saturday by a player who was inches from doing it four years ago in Sydney, Australia."
"Is Israel planning to attack Iran?","JERUSALEM Ariel Sharon may be on the warpath again and the target is Iran. In the past, the Israeli prime minister has focused attention on Iran by claiming that it presents the greatest threat to Israel. More than once, defense officials in Jerusalem ..."
"Fire stops production at Bridgestone #39;s biggest tire plant in Japan","TOKYO : Production at Bridgestone #39;s biggest tire plant in Japan remained suspended a day after a fire broke out at a rubber refining facility, a company spokesman said. "
"Violent Standoff in Najaf Continues","Negotiations over the embattled city of Najaf took a new and complicated turn Thursday when an official of Iraq's interim government issued fresh demands to be met by rebellious Shiite cleric Moqtada Sadr, accompanied by warnings of an imminent military offensive at the shrine where Sadr's militia is holed up."
"DALE McFEATTERS: Just another work sol on Mars","(SH) - While we go about our days, rather amazingly 34 million or so miles away our pair of Mars Rovers are still going about their days, although theirs are 45 minutes longer and are called  quot;sols. quot; ..."
"BJ's Profit Rises; Food, Gas Sales Strong"," CHICAGO (Reuters) - BJ's Wholesale Club Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BJ.N target=/stocks/quickinfo/fullquote""&gt;BJ.N&lt;/A&gt; on  Tuesday posted higher quarterly profit as soaring gasoline  prices and strong demand for food boosted sales."
"Israel #39;s Likud faces major vote after controversial settlement decision","JERUSALEM : Israeli Prime Minister Ariel Sharon #39;s Likud party votes on Sharon #39;s intention to bring the opposition Labour party into government, the day after he gave the green light to the construction of 1,000 new homes in Jewish settlements in the West ..."
"Weak Version of Most Powerful Explosions Found (SPACE.com)","SPACE.com - Gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole."
"Iraqi official: cleric agrees to withdraw forces from Najaf shrine","BAGHDAD, Iraq (AP) -- A delegate at Iraq #39;s National Conference in Baghdad says a militant Shiite cleric has agreed to disarm and pull his forces from a shrine in Najaf. "
"Budapest, Race: Renault on the podium","Fernando Alonso finished third in the Hungarian Grand Prix, behind two unbeatable Ferraris."
"US, South Korea fail to hammer out deal over troop cut timetable (AFP)","AFP - The United States and South Korea failed to hammer out a deal over a timetable for the planned reduction of US troops here, with Seoul asking for the cut to be delayed, officials said."
