"Tag","Title","Text"
4,"Week in review: A snapshot of the new virus","Hackers wasted little time in exploiting a flaw in the way Microsoft software handles graphics files. Internet watchers say they #39;ve spotted infected images that could implant a back door into a Windows computer if they are viewed."
1,"Lithuania Government Vies With Labor Party in Run-Off (Update1)","Lithuania #39;s governing coalition may win enough parliamentary seats in today #39;s runoff election to stay in power after the Labor Party of Russian-born millionaire Viktor Uspaskich won a first round two weeks ago."
1,"Suit seeks release of flag-draped coffin photos","WASHINGTON -- A journalism professor sued the government yesterday to force the Defense Department to release pictures of the flag-draped coffins of soldiers arriving in the United States from wars overseas."
2,"Police conduct internal probe into student death","The family of a college student killed by a police officer outside Fenway Park will await the results of an internal police investigation before deciding whether to sue the department, the family #39;s lawyer said Monday."
1,"ABBAS PEACE BID","JERUSALEM - In a stunning declaration, the Palestinian leader virtually certain to succeed Yasser Arafat said yesterday that the 4-year-old armed uprising against Israel was a mistake and must end."
4,"Tests for Tutankhamen mummy","Egypt is to conduct tests on the mummy of Tutankhamen in a bid to solve the mystery over the cause of his death."
3,"Staple #39;s Brisk Clip","A strengthening economy has been good news for office-supply retailers, as increased hiring means rising sales of sticky notes, pens, and other cubicle sundries."
3,"Google on the March","As it moves ahead with a variety of initiatives, investors may want to be cautious about the search specialist."
1,"Groups Seek to Address Voting Troubles (AP)","AP - Despite President Bush's clear margin of victory in the 2004 presidential race, voting and civil rights advocates say the election did not go as smoothly as Americans might think."
2,"Pistons Top Cavaliers 81-69 (AP)","AP - Richard Hamilton scored 21 points and the Detroit Pistons held Cleveland to a six-point third quarter and almost held LeBron James scoreless in the second half in an 81-69 win Thursday night."
1,"49 army recruits executed in Iraq: Mortar kills US diplomat","BAQUBA, Oct 24: Rebels killed 49 unarmed army recruits in one of the bloodiest attacks on Iraq #39;s nascent security forces and, in a separate attack on Sunday, killed a US diplomat in a mortar strike near Baghdad airport."
3,"First Criminal Trial on Enron to Begin Today","As the first criminal trial stemming from the financial deals at Enron opens, it will be notable as much for who is not among the six defendants as who is."
2,"Virginia Tech Women Upset No. 17 Maryland (AP)","AP - Carrie Mason had 16 points for Virginia Tech, which hung on to upset No. 17 Maryland 77-67 in the Hokies' Atlantic Coast Conference debut on Sunday."
2,"Rodman Thinks Nuggets Could Use Him (AP)","AP - The point guard thought he was great. The general manager had no comment. Dennis Rodman himself? He thinks the Denver Nuggets could really use a guy like him."
3,"UPDATE 3-Morgan Stanley profit falls 34 pct, shares drop","US investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) on Wednesday said quarterly profit dropped 34 percent amid reduced trading revenue, falling well short of Wall Street #39;s already-lowered expectations after a "
4,"Zen Micro to Take on iPod Mini","The player lets the listener choose MP3 or WMA music, ripped from CDs or downloaded from online music sites. The Zen Micro provides intuitive vertical scrolling to allow users to move through easy-to-use menus "
1,"Analysts: Arafat Treatment Seen as Sign of France #39;s Friendship &lt;b&gt;...&lt;/b&gt;","Palestinian officials say Yasser Arafat #39;s health has improved since Friday, when he arrived in France for treatment for a still-mysterious illness."
4,"Viruses Aimed at Microsoft Rise Sharply-Symantec (Reuters)","Reuters - The number of new viruses and\worms aimed at Microsoft Corp.'s  ubiquitous Windows\operating system rose 400 percent between January and June from\the same year-earlier period, leading computer security company\Symantec said on Sunday."
1,"PM to Rumsfeld: we can do a lot more if Pak builds on trust","NEW DELHI, DECEMBER 9: Prime Minister Manmohan Singh today told US Defence Secretary Donald Rumsfeld that India was ready to do more in taking forward the peace process with Pakistan if President Musharraf were to stick to his commitment on checking cross "
4,"Spot On: Dragon Quest VIII fever hits Japan","A years-long phenomenon continues as crowds gather to buy the latest installment of Square Enix #39;s RPG series. TOKYO--When it comes to the popularity of video games in Japan, one of the franchises that can #39;t "
3,"Oil may slow Australian economic growth","SYDNEY Rising oil prices may slow Australia #39;s economic growth rate in the short term by damping global demand for exports, and by cooling consumer spending, the central bank said Thursday."
1,"Two Churches Bombed as Violence Persists in Iraq","Major attacks have continued in recent days, including several apparent efforts to sow divisions between groups."
1,"Locust Likely to Descend on West Africa Again (Reuters)","Reuters - The desert locust infestation that\descended on West and Central Africa this year is likely to\return in 2005 and officials will have to be better prepared to\avoid major damage to crops, experts said on Monday."
2,"Around Sports","Tyler Hamilton #39;s title from the Athens Games is  quot;no longer a gold medal in the eyes of the world quot; because of the cyclist #39;s failed drug test, the head of the World Anti-Doping Agency said Thursday."
4,"Electronic Eye Devised to Help Blind Cross Roads","An  quot;electronic eye quot; that can be fitted to a pair of glasses could help the blind cross roads more safely, scientists said on Friday."
3,"Boots feels the pinch from price cuts","Bad weather hit sales at Boots in the first half, while margins felt the pressure from price cuts made to combat stiffening competition, Britain #39;s biggest health and beauty retailer says."
2,"Kansas City Lineman Catches Heat From ND (AP)","AP - All he said was, ""Jordan Black, Dallas Christian High School."" That was more than enough to upset many Notre Dame fans."
1,"Hamas signals it wants a role in Palestinian vote","The militant group is poised to sponsor candidates in legislative and municipal elections expected later next year."
2,"Nowhere to run Michigan #39;s defense stifles Iowa #39;s running game &lt;b&gt;...&lt;/b&gt;","refrain from stealing a glance or two at the mammoth Michigan Stadium scoreboards during Saturday #39;s game against Iowa.  quot;Don #39;t tell the coaches, quot; he said afterward, putting a finger to his lips and smiling."
3,"Credit demand helps ANZ profit leap 18","AUSTRALIA and New Zealand Banking Group has seen its second-half profit jump 18 per cent following the acquisition of New Zealands biggest bank, coupled with a strong demand for credit."
3,"Foodland gets offer for Australian unit","SYDNEY Metcash Trading, Australia #39;s biggest grocery wholesaler, said Monday that it had offered 846 million Australian dollars, or \$660 million, in cash or stock for Foodland Associated #39;s Australian business, to complete a nationwide distribution network."
1,"Activists Worry Election Reform May Wane (AP)","AP - Sure, there were hours-long lines, temperamental electronic machines and some old-fashioned misplaced ballots, but America's democracy worked well enough on Nov. 2 to elect a president."
1,"Backup Voting System Woes May Loom Anew","WASHINGTON - Call it the law of unintended consequences. A new national backup system meant to ensure that millions of eligible voters are not mistakenly turned away from the polls this year, as happened in 2000, could wind up causing Election Day problems as infamous as Florida's hanging chads..."
1,"Turmoil Grips Elite School Over Money and Leaders","A debate is festering among graduates and parents at St. Paul's, an elite school in New Hampshire, with critics accusing trustees and the rector of mismanagement."
4,"At wireless conference, silly services rule","reporter's notebook Concerned about coverage? It's a good thing you didn't go to CTIA; people there were busy playing ""Swordfish."""
4,"Cisco adds to storage switching portfolio","Two new products are designed to make it easier for businesses to connect storage computers across long distances."
4,"Oxford, Harvard... libraries online on Google:","World News: London, Dec 15 : Rare and contemporary works from the libraries of five of the world #39;s most important academic institutions are to be digitised by Google and made available online."
1,"Russia approves electoral reform","Russia #39;s lower house of parliament gave tentative backing Friday to a key electoral reform proposed by President Vladimir Putin following a series of recent terror attacks that have killed hundreds and stunned Russians."
1,"Recent American deaths in Iraq","As of yesterday, at least 1,206 members of the US military have died since the beginning of the Iraq war in March 2003. Below is a list of those killed recently."
4,"IBM  #39;stirs up the field #39; with P5 servers","In a move which industry watchers predict will  quot;stir up quot; the high-end computing market, IBM today introduced three servers based on its latest Power5 processor architecture: the eServer i5 595, p5 595 and p5 590."
1,"Dozens of Iraqi Troops Massacred in Ambush","Description: Guerillas dressed as policemen ambush and kill about 50 newly trained Iraqi soldiers in a remote eastern region of Iraq."
1,"Megawati refuses to concede defeat","Megawati Sukarnoputri has declined to concede defeat in Indonesia #39;s first direct presidential election, although with most votes counted, she is too far "
4,"Amd64 Journeys to Shangri-La with Mark Knopfler","SUNNYVALE, Calif. - (BUSINESS WIRE) -ct. 18, 2004  - (NYSE:AMD) today announced that guitar superstar Mark Knopflers latest album Shangri-La was recorded in high-resolution 24-bit/96kHz "
3,"US Airways follows Delta's lead, slashes managers' pay","In a bid to survive and to persuade unions to accept deep pay and benefit cuts, managers at US Airways Group and Delta Air Lines are sharing some of the pain."
4,"Fragile Arctic region endangered by greenhouse gases: report","Greenhouse gases have contributed to a gradual warming of the ecologically-fragile Arctic region, causing massive climate changes, including melting glaciers and sea ice, according to a soon-to-be-released environmental study."
1,"Israel's Sharon Vows to Fight Those Behind Bombings"," JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  said on Friday he and Egyptian President Hosni Mubarak had  agreed to ""focus efforts and forces to fight terror,"" after  bombings at Egyptian resorts killed at least 31 people."
2,"Owens makes his presence felt, even without a dance","And in Week 12, Terrell Owens paused to become just another Eagle contributing to just another victory. No controversy. No ceremony."
4,"Microsoft Threatens Lawsuits Over Linux","Microsoft Chief Operating Officer Steve Ballmer on Thursday warned Asian governments that they could face intellectual rights-infringement lawsuits for using rival open-source operating platforms such as Linux."
1,"Video shows Madrid attack horror","Video footage of the moment bombs exploded in a Madrid train station have been shown on Spanish television. The 11 March security camera footage shows people leaving Atocha station after one device has already exploded."
2,"Molik Beats Golovin in SEAT Open Quarters (AP)","AP - Alicia Molik came back to beat French teen Tatiana Golovin 3-6, 6-4, 6-4 in the SEAT Open quarterfinals Friday, moving closer to winning her second WTA Tour title in two weeks."
3,"Sony to Launch Smaller PS2 Console Oct. 26-Report","Japan #39;s Sony Corp is expected to unveil a smaller version of its popular PlayStation 2 game console on October 26, The Hollywood Reporter said on its Web site, citing retailers and industry analysts."
3,"THE WESTERN FRONT","Tomorrow night President Bush and John Kerry take the stage together for the final time before Nov. 2. This debate will focus on domestic issues, so it was supposed to be the one Mr."
3,"Harmony Gold #39;s share price under pressure","The share price of Harmony Gold came under pressure today, dipping some 8 after announcing a hostile bid for Gold Fields to create the world #39;s biggest gold producer."
1,"Moonlit Taj Entralls hundreds after 20 years","Tourists, lovebirds and locals came in hundreds to view the Taj Mahal at night on Saturday, after the Supreme Court allowed visitors to gaze at the dazzling marble monument by moonlight for the first time in two decades."
1,"Misgivings from Jordan on Iraq vote","King Abdullah II of Jordan said in an interview published Tuesday that he thought it was impossible under  quot;the chaos which Iraq knows today quot; to go ahead with elections there scheduled for January, and that if the vote were held  quot;the extremists quot; would win."
1,"Soldiers rush supplies to storm-hit Filipinos","Philippine soldiers have rushed food, drinking water and other supplies by foot and helicopters to provinces cut off by four storms in two weeks that have left more than 1,300 people dead or missing."
1,"Blair says he won't apologize for Iraq war","LONDON -- Prime Minister Tony Blair weathered yet another storm over the Iraq conflict yesterday, vigorously denying he misled Britain over Iraqi weapons and refusing to apologize for the war."
1,"US shrugs off report of ransom","The Bush administration yesterday gave Italy the benefit of the doubt amid reports that Rome had paid a terrorist group in Iraq a \$1 million ransom to secure the release of two Italian hostages."
3,"Amgen 3Q Profit Falls on Acquisition","Amgen Inc., the country #39;s largest biotechnology company, said Wednesday that third-quarter profit fell sharply because of charges related to the acquisition of Tularik Inc."
4,"HP to Sun: Get the facts straight","Sun execs say they're telling it like it is: HP's Unix offering is on its last legs. HP says they're flat-out wrong."
1,"TURKEY AND THE EU A Sultan Looks West","This week, as EU heads of state meet to decide the fate of Turkey #39;s candidacy for EU membership, Turkish Prime Minister Recep Tayyip Erdogan will be preparing his own run for the Turkish presidency."
3,"CoTherix, Google Rise Before the Bell (Reuters)","Reuters - Shares of CoTherix Inc.  rose\2.7 percent  before the bell on Tuesday after Piper Jaffray\initiated coverage of the biopharmaceutical company with an\""outperform"" rating and a  #36;10 price target."
3,"Wall Street stocks enjoy late-day rally despite high oil price","Wall Street stocks ended higher Wednesday, boosted by a late-day rally despite the record crude oil price of more than 52 US dollars per barrel."
4,"Copernic Desktop Search Targeting Multi-Lingual European Markets","Copernic Desktop Search Targeting Multi-Lingual European Markets \\Copernic and its international business development partner Contraco initiated a European market penetration strategy by announcing German, French, and Dutch versions of the award-winning Copernic Desktop Search (CDS) product, with an Italian version soon to follow. Copernic continues to outmaneuver both Microsoft and ..."
3,"Johnson boss to fill big shoes at Nike","William Perez, president and chief executive officer of Racine-based SC Johnson  amp; Son Inc., is taking the reins of Nike Inc., the world #39;s dominant marketer of athletic shoes."
2,"Late TD, FG lift Broncos","TULSA, Okla. -- Antwaun Carter scored on a 2-yard run with less than two minutes remaining, and Tyler Jones kicked a 46-yard field goal with three seconds left, rallying No. 21 Boise State to a 45-42 win over Tulsa last night."
1,"Egypt proposes unified call to prayer","The Egyptian government says it wants to unify the calls to prayer that air separately from thousands of mosque loudspeakers in the capital Cairo."
2,"Carter to Miss Two Games to Fight Lawsuit (AP)","AP - Vince Carter will miss the Toronto Raptors' next two preseason games while he fights a lawsuit from a former agent."
3,"Chances Dwindling for US-EU Aircraft Pact"," WASHINGTON (Reuters) - The United States and the European  Union are unlikely to reach a new civil aircraft pact covering  Boeing Co. and Airbus, an EU official said on Thursday,  boosting the chances the two sides will take their subsidy  countercharges to the World Trade Organization."
1,"Kashmir talks end with hopes of more such efforts","The first ever direct talks between politicians and intellectuals of Indian and Pakistani Kashmir over the Kashmir dispute concluded here today with both the organisers and the participants stressing the need to continue dialogue."
4,"World's Top Game Players Battle for Cash (AP)","AP - For the world's best video game players, getting the high score is no longer enough."
2,"Indians decline option on long-time shortstop Vizquel","CLEVELAND -- The Cleveland Indians declined to pick up Omar Vizquel #39;s \$5 million contract option for next season, making him eligible to become a free agent when the World Series ends."
3,"Market closes weaker","THE Australian share market finished slightly weaker today, as investors continued to engage in some profit taking after last week #39;s record highs."
4,"An Apple rumor a day","Now that Apple Computer has its shitake mushrooms together, it apparently is being coveted by IBM. Missing Links"
3,"Reebok Posts Higher Earnings, Stock Up"," NEW YORK (Reuters) - Athletic shoe and apparel maker Reebok  International Ltd. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RBK.N target=/stocks/quickinfo/fullquote""&gt;RBK.N&lt;/A&gt; on Thursday posted  better-than-expected quarterly earnings on an acquisition and  the weak dollar, sending its shares up more than 3 percent."
1,"Bid to avert new S Africa strikes","South African unions and government officials meet to try and thrash out a pay deal, as more strikes loom next week."
1,"No Pause in Foreign Exodus from Ivory Coast"," ABIDJAN (Reuters) - An exodus of foreigners from Ivory  Coast showed no signs of easing Saturday as West African  leaders prepared to meet in Nigeria for emergency talks about a  crisis which threatens the entire region."
1,"Thatcher case postponed","The case against Mark Thatcher, a British businessman who is being charged for allegedly bankrolling an alleged coup plot in Equatorial Guinea, has been postponed in the Wynberg Magistrate #39;s Court."
4,"Chemists could predict volcanos moves","WASHINGTON - Monitoring the gases emitted by lava from Mount St. Helens might provide clues to future eruptions, a British volcano expert says."
3,"UPDATE: China #39;s ZTE Shares Rise 11 On Hong Kong Debut","HONG KONG (Dow Jones)--China #39;s second-largest telecommunications equipment maker ZTE Corp. (0763.HK) staged a strong debut at its listing on the Hong Kong bourse Thursday "
4,"Annual Competition for Public Space Flight","Hoping to build on the momentum sparked by SpaceShipOne #39;s dash into space, supporters of opening the heavens to civilians are turning the winner-take "
4,"Microsoft Sets Licensing Policy for New Chips (Reuters)","Reuters - Microsoft Corp.  on\Tuesday agreed to require only a single license for server\software that runs on computers powered by a new generation of\chips that squeeze multiple processors into a single package."
4,"MSN Launches Search Beta (NewsFactor)","NewsFactor - On Thursday, Microsoft's (Nasdaq: MSFT) MSN division launched a beta version of a search engine that appears designed to compete directly with Web search leader Google."
3,"'Bin Laden' tape urges oil attack","A tape said to have been recorded by Osama Bin Laden calls on his supporters\to strike Gulf oil supplies."
4,"Florida IT Managers Balance Tech Needs, Workforce Issues in Storms","SEPTEMBER 13, 2004 (COMPUTERWORLD) - Miami-Dade County #39;s IT operations center serves the largest metropolitan area in the state of Florida and is staffed around the clock."
3,"New CA CEO gets \$12.8-mn package","NEW YORK: Computer Associates International Inc said on Wednesday it has awarded its new chief executive John Swainson a pay package totaling \$12.8 million (approx Rs 54 crore), in signing bonus, salary, stocks and options."
2,"Clippers Surge in Second Half","LOS ANGELES, Nov. 16 (Ticker) -- Marko Jaric led a third-quarter charge that put the Los Angeles Clippers where they haven #39;t been in nearly 10 years."
3,"Witness Testifies on Ovitz #39;s Option Terms","GEORGETOWN, Del. - The terms on the options Walt Disney Co. gave its former president Michael Ovitz when he was hired were less generous than the terms for many other industry executives, a former compensation consultant testified Wednesday."
1,"Top Islamic cleric rushes to bedside of comatose Arafat in French &lt;b&gt;...&lt;/b&gt;","A top Islamic cleric was rushing to Palestinian President Yasser Arafat #39;s hospital bedside Wednesday after his coma deepened and his caretaker government chose a burial site."
4,"CA offers usage-based pricing for mainframe tools","Computer Associates said all of its products for use with IBM's zSeries mainframes and the zOS operating system are now available on a pay-as-you-go basis."
2,"Former NFL player killed in crash","Travel is back to normal on the Thruway Friday morning after an accident that stopped or slowed traffic from Herkimer all the way to Schenectady."
3,"Honda profits drop as sales start to sag","However, the decline is not as bad as analysts had expected, and the company raises its profit outlook. By Todd Zaun. TOKYO -- The Honda Motor Co."
4,"AOL developing file-backup service","America Online Inc. (AOL) is developing a new service that will let its members back up files from their PCs on AOL data centers, so that the members will be able to recover files either deleted accidentally or lost due to a hard drive failure, an AOL executive said."
4,"Disabled Are Pleased With E-Voting","This November, Eileen Rivera Ley, 41, will vote by herself for the first time. Blind voters in Maryland and several other states will use electronic voting machines equipped with technology that allows the disabled to vote independently."
4,"Lowe's Hardware Hacker Gets Nine Years (AP)","AP - One of three Michigan men who hacked into the national computer system of Lowe's hardware stores and tried to steal customers' credit card information was sentenced Wednesday to nine years in federal prison."
3,"US Dollar Continues Its Broad Decline","The US dollar sank anew against other major currencies yesterday, even though Japanese officials publicly raised the prospect of joining with European governments to brake its slide."
3,"Oracle to Issue Tender Results Saturday (Reuters)","Reuters - Oracle Corp.  said it would\report preliminary results of its  #36;8.8 billion hostile tender\offer for PeopleSoft  as soon as practicable after 1\a.m. EST Saturday."
1,"Japan #39;s Nikkei 225, Topix Drop; Canon, Honda, Nissan Decline","Japan #39;s Nikkei 225 Stock Average fell 138.20, or 1.3 percent, to 10,718.93 at 9:02 am in Tokyo. The broader Topix index lost 12."
2,"From Season, and Game, to Forget, Steelers and Jets Are Teams to Beat","After they both finished 6-10 a year ago, the Jets and Pittsburgh Steelers have found themselves linked again, but now in their rise to the N.F.L.'s upper echelon."
1,"Castro injures knee, arm in fall ","HAVANA -- Cuban President Fidel Castro's advancing age -- and ultimately his mortality -- were brought home yesterday, a day after he fractured a knee and arm when he tripped and fell at a public event."
3,"ATA Midway gates at center of battle","The bidding war between AirTran Airways and Southwest Airlines over bankrupt ATA #39;s Midway business continued Tuesday, revealing a new, competitive world for low-cost carriers."
2,"Bills 38 Seahawks 9","SEATTLE Willis McGahee had 116 yards rushing and four touchdowns as Buffalo skipped past Seattle 38-to-9. Drew Bledsoe offset his three interceptions by completing two-thirds of his passes for 275 yards and a touchdown."
3,"The Times Company Lowers Its Forecast for 2004 Earnings","The New York Times Company said yesterday that its profit for the year would fall short of what it had initially forecast, a casualty of higher costs and of advertising revenue that has "
3,"Dollar Springs Higher as Oil Prices Slump"," NEW YORK (Reuters) - The dollar rallied sharply on  Wednesday, erasing earlier losses, after oil prices plunged \$3  per barrel on news of a bigger-than-expected build in U.S.  crude oil supplies."
2,"Buckeyes Edge Wolf Pack","Kicker Mike Nugent ties a school record with five field goals and No. 9 Ohio State forces five turnovers in a 22-14 victory over N.C. State on Saturday."
2,"Mate grates Earnhardt","LOUDON, N.H. -- Well before the green flag dropped on yesterday's Sylvania 300, signaling the start of the Chase for the Nextel Cup, Dale Earnhardt Jr. expressed concern about how the other 33 drivers would race the top 10 in contention for the title."
4,"Microsoft's Anti-Spam Effort Killed Amid Patent Row","A row over intellectual property claims from Microsoft Corp. (MSFT) has dealt a fatal blow to an ambitious effort by Internet engineers to create a technical standard for curbing junk e-mail."
4,"PluggedIn: Wireless Companies Chat Up Teens, Young Adults"," NEW YORK (Reuters) - The wireless industry, not content  with getting corporate executives addicted to e-mail on the go,  is setting its sights on the instant messaging generation."
4,"Scientists Find Gene Clue in Hunt for AIDS Vaccine (Reuters)","Reuters - Scientists said Wednesday they have\identified key genes involved in the body's response to HIV,\which causes AIDS -- a finding that could narrow the search for\an effective vaccine against the deadly illness."
4,"Cassini takes first close-ups of Titan","The Cassini spacecraft has sent back the first detailed pictures of the Saturns largest moon, Titan, showing a sharply-defined but nevertheless mysterious landscape of light and dark regions."
3,"News Corp slashes jobs in printing arm move","NEWS International, the UK newspaper unit of News Corp, is to cut its 1000-person production staff by two-thirds and move its London printing facilities from Wapping to Enfield, in north London."
3,"It girl turned sole trader makes millions as Jimmy Choo deal is &lt;b&gt;...&lt;/b&gt;","Tamara Mellon, the former It girl and fashion PR, yesterday saw a 150,000 loan from her father turn into a 50m fortune when the Jimmy Choo shoes business was bought by the American "
2,"No. 19 North Carolina State Pounds Elon"," RALEIGH, N.C. (Sports Network) - Julius Hodge poured in a  game-high 21 points as 19th-ranked North Carolina State routed  Elon, 71-45, in the semifinal round of the BCA Invitational at  the RBC Center."
4,"7-Foot Robot Used in Black Sea Expedition (AP)","AP - Four years ago, scientists thought they had found the perfect place to settle the Noah flood debate: A farmer's house on a bluff overlooking the Black Sea built about 7,500 years ago  #151; just before tidal waves inundated the homestead, submerged miles of coastline and turned the freshwater lake into a salty sea."
2,"Naive? Not our Kev!","SOMEBODY obviously hasn #39;t mentioned to Kevin Keegan that he #39;s supposed to be tactically naive. Because there was nothing remotely naive about Keegan #39;s tactics at Old Trafford yesterday as the Manchester City "
4,"Canadian iTunes Music Store postponed (MacCentral)","MacCentral - Apple Computer Inc. confirmed for MacCentral on Wednesday that the Canadian iTunes Music Store has been delayed. Company representatives declined to comment on a specific timeframe for the store, but said in a statement that it would be very soon."
4,"News: SCO hacked in apparent IP protest","Visitors to SCO's website this morning were treated to a rare moment of corporate self-awareness after hackers apparently replaced an image linking to the undoubtedly scintillating ""Extending Legacy Applications and Databases to the Web and Wireless Devices with SCOx Web Services Substrate"" with a graphic bearing the rather more promising ""We own all your code - pay us all your money""\"
3,"Asbestos fund included in WR Grace plan","The reorganization plan filed by WR Grace  amp; Co. in its Chapter 11 bankruptcy case includes a proposal to establish a trust to handle a variety of asbestos claims against the chemical manufacturer."
3,"Update 1: Sprint to Cut 700 Jobs, Expects Charge","Sprint Corp., the telecommunications giant, said Friday it will cut 700 jobs in its business solutions division as it stops selling business long distance services outside of package deals."
4,"On the Trail of the Analemma","How do you photograph the sun's yearly figure-eight path in the sky? With a huge amount of patience, say the small handful of photographers who have managed the tricky feat. By Amit Asaravala."
4,"AOL 9.0 Packs Antivirus Protection (PC World)","PC World - McAfee VirusScan Online will come bundled with AOL 9.0 Security Edition."
2,"Sigalet public about illness","At first glance, the question of whether the Bruins should sign 2001 draft pick Jordan Sigalet at the end of his senior season seems to be a no-brainer."
2,"Agassi brushes Bjorkman aside in Stockholm","Andre Agassi brushed past Jonas Bjorkman 6-3 6-4 at the Stockholm Open on Thursday to set up a quarter-final meeting with Spanish sixth seed Fernando Verdasco."
3,"EU clears Oracle #39;s takeover bid for PeopleSoft","The European Commission approved US software company Oracle #39;s 7.7 billion-dollar takeover bid for its American rival in the business software market Peoplesoft on Tuesday."
4,"Intel preparing for next 20 years of chip making","Intel drew the curtain Friday on some of its future research projects to continue making transistors smaller, faster, and less power-hungry out as far as 2020."
3,"Philip Morris Hikes Cigarette Prices"," CHICAGO (Reuters) - Philip Morris USA cut wholesale  discounts on its best-selling Marlboro cigarettes and three  other brands, a spokeswoman said on Friday, effectively raising  prices for the first time in more than two-and-a-half years."
4,"X-Prize for world's 'Holy Grails'","\A series of X-Prizes for breakthroughs in science or technology that solve the world's greatest challenges are planned."
2,"We gave a good fight: Ganguly","India  quot;gained a lot quot; from the drawn cricket Test against South Africa and would now carry the confidence into the deciding second match in Kolkata, skipper Sourav Ganguly said in Kanpur on Wednesday."
1,"Global box office rise forecast","Global cinema takings will rise steadily to \$22.8bn (12.6bn) by the end of 2004, a research body predicts."
4,"AMD spells out dual core features","CHIP FIRM AMD has revealed more details of the dual core processors it expects to introduce next year. The firm presented at the Processor Forum in San Jose earlier today, and, according to EE Times, revealed some further details of its plans."
4,"State Government IT","Simone Marstiller, Florida's chief information officer, will be online to answer your questions about the challenges facing her office. Filter columnist Cynthia L. Webb will moderate."
2,"Fiedler injured in another Miami loss","Foxboro, MA (Sports Network) - Miami Dolphins quarterback Jay Fiedler suffered a rib injury during the closing moments of Sunday #39;s 24-10 loss to the New England Patriots."
3,"Chrysler Outpaces Its US Competitors","The Chrysler Group, the North American arm of DaimlerChrysler AG, continued on its hot streak last month as the only domestic automaker with increasing US sales."
4,"Euro Web sites spread Bofra worm via banner ads","Web site visitors who clicked on banner ads on a number of popular European Web sites this weekend could have infected their computers with variants of the Bofra worm, experts warned on Monday."
2,"Astros ace willing to start on short rest this weekend","Whether the Houston Astros are still in contention for the Wild Card spot when the Colorado Rockies roll into town this weekend is anyone #39;s guess, as is which starting "
4,"Freescale shows off dual core Power PC chip","THE FIRM spun out of Motorola to sell semiconductors said it has started showing off a dual core processor based on the E600 architecture."
2,"Kovalev, Richards and Khabibulin join Russian club","Alexei Kovalev, Brad Richards and Nikolai Khabibulin became the latest NHL players to join a European team during the lockout, agreeing to play in Russia."
4,"Sony retuning to pick up MP3s","Hammered by iPod, Sony will retool, adding native MP3 support to some digital music players by next summer."
1,"Explosion rocks Israel checkpoint","A number of Israelis are hurt in a blast on the border between the Gaza strip and Egypt, Israeli officials say."
2,"Gasol extends Grizzlies contract","The Spanish player was pivotal for the Grizzlies last year, averaging 17.7 points, 7.7 rebounds and 1.69 blocks per game. The 7-foot Gasol came in an impressive 20th overall in the NBA in field goal percentage, and 18th in blocks."
1,"Sudan #39;s other humanitarian crisis","The country #39;s peace envoy says that negotiations will resume next month to end the north-south civil war. By Mike Pflanz  Contributor to The Christian Science Monitor."
3,"OECD Forecasts Steady Economic Growth","The OECD revised the growth projections for its major members. The growth of the US economy this year is likely to be 4.3 percent, instead of an earlier forecast of 4.7 percent, it said."
